key,municipio,departamento,ano,mes,fecha_hecho,cod_muni,SECUESTRO EXTORSIVO,SECUESTRO SIMPLE,TOTAL SECUESTROS,POB_CABECERA,POB_RURAL,POB_TOTAL,Tasa_100_habitantes,periodo,ASESINATOS,Coeficiente de Gini,Incidencia de la pobreza monetaria,Incidencia de la pobreza monetaria extrema,Población en condición de miseria,Índice de pobreza multidimensional - IPM,CULTIVOS_COCA,TOTAL_DESAPARICION,TOTAL_ACCIONES,TOTAL MASACRE
05001-1996,MEDELLIN,ANTIOQUIA,1996,1,1996-01-06,05001,73.0,8.0,81.0,1735720,52111,1787831,4.530629572929432,1995,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,15.0,51.0
05001-1997,MEDELLIN,ANTIOQUIA,1997,1,1997-01-22,05001,55.0,19.0,74.0,1764426,51875,1816301,4.074214571263243,1995,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,31.0,76.0
05001-1998,MEDELLIN,ANTIOQUIA,1998,1,1998-01-05,05001,60.0,21.0,81.0,1795878,51513,1847391,4.384561795526772,1995,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,25.0,59.0
05001-1999,MEDELLIN,ANTIOQUIA,1999,1,1999-01-10,05001,78.0,26.0,104.0,1826719,51146,1877865,5.538204290510766,1995,1528.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,60.0,94.0
05001-2000,MEDELLIN,ANTIOQUIA,2000,1,2000-01-03,05001,66.0,53.0,119.0,1857106,50753,1907859,6.237358211482086,2000,1662.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,35.0,49.0
05001-2001,MEDELLIN,ANTIOQUIA,2001,1,2001-01-04,05001,17.0,49.0,66.0,1886530,50330,1936860,3.4075772126018404,2000,1555.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,48.0,65.0
05001-2002,MEDELLIN,ANTIOQUIA,2002,1,2002-01-12,05001,67.0,31.0,98.0,1915115,49900,1965015,4.987239283160688,2000,1753.0,0.55,36.5,8.0,0.0,0.0,0.0,240.0,171.0,131.0
05001-2003,MEDELLIN,ANTIOQUIA,2003,1,2003-01-01,05001,31.0,19.0,50.0,1943194,49446,1992640,2.509233981050265,2000,1110.0,0.56,34.7,6.7,0.0,0.0,0.0,147.0,29.0,39.0
05001-2004,MEDELLIN,ANTIOQUIA,2004,1,2004-01-28,05001,11.0,8.0,19.0,1970901,49029,2019930,0.9406266553791468,2000,563.0,0.54,31.7,5.6,0.0,0.0,0.0,126.0,7.0,4.0
05001-2005,MEDELLIN,ANTIOQUIA,2005,3,2005-03-17,05001,6.0,3.0,9.0,1997763,48578,2046341,0.4398093963811506,2005,232.0,0.52,29.3,5.0,0.0,32.4,0.0,105.0,6.0,0.0
05001-2006,MEDELLIN,ANTIOQUIA,2006,1,2006-01-13,05001,5.0,1.0,6.0,2026028,48167,2074195,0.2892688488787216,2005,183.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1.0,0.0
05001-2007,MEDELLIN,ANTIOQUIA,2007,3,2007-03-28,05001,1.0,4.0,5.0,2053966,47805,2101771,0.23789461363773695,2005,85.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,4.0
05001-2008,MEDELLIN,ANTIOQUIA,2008,1,2008-01-10,05001,4.0,1.0,5.0,2081896,47440,2129336,0.2348149845773518,2005,91.0,0.54,25.0,6.2,0.0,0.0,0.0,78.0,1.0,12.0
05001-2009,MEDELLIN,ANTIOQUIA,2009,4,2009-04-28,05001,4.0,2.0,6.0,2110007,47087,2157094,0.27815199523062045,2005,76.0,0.54,23.9,6.2,0.0,0.0,0.0,181.0,1.0,0.0
05001-2010,MEDELLIN,ANTIOQUIA,2010,1,2010-01-21,05001,6.0,2.0,8.0,2138782,46757,2185539,0.3660424270626148,2010,41.0,0.54,22.0,5.6,0.0,0.0,0.0,260.0,2.0,0.0
05001-2011,MEDELLIN,ANTIOQUIA,2011,1,2011-01-16,05001,8.0,3.0,11.0,2167110,46439,2213549,0.49693953013915665,2010,27.0,0.51,19.2,4.0,0.0,0.0,0.0,237.0,5.0,8.0
05001-2012,MEDELLIN,ANTIOQUIA,2012,3,2012-03-23,05001,9.0,1.0,10.0,2194586,46104,2240690,0.4462910978314716,2010,18.0,0.5,17.7,3.5,0.0,0.0,0.0,65.0,4.0,0.0
05001-2013,MEDELLIN,ANTIOQUIA,2013,1,2013-01-06,05001,1.0,6.0,7.0,2221256,45713,2266969,0.3087823432962692,2010,8.0,0.51,16.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
05001-2014,MEDELLIN,ANTIOQUIA,2014,1,2014-01-26,05001,5.0,2.0,7.0,2248191,45410,2293601,0.30519693704353984,2010,7.0,0.53,14.7,2.8,0.0,0.0,0.0,3.0,0.0,0.0
05001-2015,MEDELLIN,ANTIOQUIA,2015,1,2015-01-19,05001,4.0,9.0,13.0,2275687,45104,2320791,0.5601538440988438,2015,9.0,0.49,14.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0
05001-2016,MEDELLIN,ANTIOQUIA,2016,1,2016-01-23,05001,11.0,13.0,24.0,2306197,44880,2351077,1.0208087612613284,2015,1.0,0.48,14.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0
05001-2017,MEDELLIN,ANTIOQUIA,2017,3,2017-03-27,05001,3.0,3.0,6.0,2340332,44686,2385018,0.25157042839928256,2015,10.0,0.46,13.4,2.4,0.0,0.0,0.0,1.0,0.0,0.0
05001-2018,MEDELLIN,ANTIOQUIA,2018,3,2018-03-14,05001,3.0,2.0,5.0,2382399,44730,2427129,0.2060047076195785,2015,3.0,0.47,13.9,2.7,0.41,12.8,0.0,0.0,0.0,4.0
05001-2019,MEDELLIN,ANTIOQUIA,2019,1,2019-01-27,05001,3.0,2.0,5.0,2439470,44075,2483545,0.20132512195269262,2015,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05001-2020,MEDELLIN,ANTIOQUIA,2020,1,2020-01-26,05001,6.0,11.0,17.0,2476569,43023,2519592,0.6747124137558779,2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
05001-2021,MEDELLIN,ANTIOQUIA,2021,2,2021-02-12,05001,7.0,2.0,9.0,2506656,42352,2549008,0.3530785309422332,2020,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05001-2022,MEDELLIN,ANTIOQUIA,2022,1,2022-01-10,05001,6.0,4.0,10.0,2530398,41952,2572350,0.3887495869535639,2020,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05001-2023,MEDELLIN,ANTIOQUIA,2023,1,2023-01-07,05001,13.0,5.0,18.0,2553621,41679,2595300,0.6935614379840481,2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05001-2024,MEDELLIN,ANTIOQUIA,2024,1,2024-01-10,05001,12.0,0.0,12.0,2574994,41341,2616335,0.45865686160220304,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05001-2025,MEDELLIN,ANTIOQUIA,2025,1,2025-01-14,05001,4.0,1.0,5.0,2593542,41028,2634570,0.1897842911746509,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05002-1996,ABEJORRAL,ANTIOQUIA,1996,5,1996-05-18,05002,2.0,0.0,2.0,6798,18296,25094,7.970032677133976,1995,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0
05002-1998,ABEJORRAL,ANTIOQUIA,1998,11,1998-11-01,05002,1.0,1.0,2.0,6885,17799,24684,8.10241451952682,1995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
05002-1999,ABEJORRAL,ANTIOQUIA,1999,2,1999-02-04,05002,7.0,1.0,8.0,6933,17521,24454,32.71448433794062,1995,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0
05002-2000,ABEJORRAL,ANTIOQUIA,2000,1,2000-01-23,05002,3.0,4.0,7.0,6977,17239,24216,28.906508093822268,2000,29.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0
05002-2001,ABEJORRAL,ANTIOQUIA,2001,1,2001-01-14,05002,5.0,5.0,10.0,7020,16958,23978,41.70489615480857,2000,35.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,0.0
05002-2002,ABEJORRAL,ANTIOQUIA,2002,3,2002-03-18,05002,0.0,9.0,9.0,7047,16685,23732,37.92347884712625,2000,23.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0
05002-2003,ABEJORRAL,ANTIOQUIA,2003,1,2003-01-11,05002,4.0,3.0,7.0,7079,16389,23468,29.827850690301688,2000,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0
05002-2004,ABEJORRAL,ANTIOQUIA,2004,7,2004-07-28,05002,3.0,0.0,3.0,7124,16105,23229,12.914890869172154,2000,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
05004-1998,ABRIAQUI,ANTIOQUIA,1998,6,1998-06-23,05004,3.0,0.0,3.0,653,2123,2776,108.06916426512969,1995,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
05004-2000,ABRIAQUI,ANTIOQUIA,2000,3,2000-03-03,05004,3.0,2.0,5.0,683,2075,2758,181.29079042784628,2000,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
05004-2001,ABRIAQUI,ANTIOQUIA,2001,11,2001-11-26,05004,1.0,0.0,1.0,664,2061,2725,36.69724770642202,2000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
05004-2002,ABRIAQUI,ANTIOQUIA,2002,1,2002-01-07,05004,1.0,0.0,1.0,681,2051,2732,36.603221083455345,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
05004-2003,ABRIAQUI,ANTIOQUIA,2003,4,2003-04-04,05004,8.0,0.0,8.0,693,2037,2730,293.040293040293,2000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
05004-2004,ABRIAQUI,ANTIOQUIA,2004,3,2004-03-15,05004,2.0,0.0,2.0,715,2017,2732,73.20644216691069,2000,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05004-2005,ABRIAQUI,ANTIOQUIA,2005,2,2005-02-23,05004,2.0,0.0,2.0,723,1996,2719,73.5564545788893,2005,0.0,0.0,0.0,0.0,0.0,52.53,0.0,0.0,0.0,0.0
05021-2000,ALEJANDRIA,ANTIOQUIA,2000,4,2000-04-08,05021,2.0,2.0,4.0,2018,2775,4793,83.45503859795535,2000,38.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0
05021-2002,ALEJANDRIA,ANTIOQUIA,2002,7,2002-07-07,05021,0.0,1.0,1.0,2065,2696,4761,21.003990758244065,2000,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
05021-2003,ALEJANDRIA,ANTIOQUIA,2003,10,2003-10-21,05021,3.0,0.0,3.0,2077,2669,4746,63.21112515802782,2000,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0
05021-2023,ALEJANDRIA,ANTIOQUIA,2023,10,2023-10-20,05021,0.0,1.0,1.0,2886,2026,4912,20.35830618892508,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05030-1996,AMAGA,ANTIOQUIA,1996,2,1996-02-10,05030,2.0,0.0,2.0,10515,14686,25201,7.9361930082139605,1995,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
05030-1999,AMAGA,ANTIOQUIA,1999,8,1999-08-20,05030,0.0,1.0,1.0,11044,14893,25937,3.85549600956163,1995,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
05030-2001,AMAGA,ANTIOQUIA,2001,1,2001-01-26,05030,0.0,3.0,3.0,11372,14975,26347,11.386495616199188,2000,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
05030-2003,AMAGA,ANTIOQUIA,2003,12,2003-12-17,05030,0.0,2.0,2.0,11690,15043,26733,7.481390042269854,2000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
